Date,Species,Abundance,Trapping.effort
01/06/2020,Aedes albopictus,9,6
09/06/2020,Aedes albopictus,7,8
15/06/2020,Aedes albopictus,12,6
22/06/2020,Aedes albopictus,17,7
29/06/2020,Aedes albopictus,40,7
05/07/2020,Aedes albopictus,40,6
13/07/2020,Aedes albopictus,33,7
20/07/2020,Aedes albopictus,61,7
27/07/2020,Aedes albopictus,126,7
10/08/2020,Aedes albopictus,188,14
17/08/2020,Aedes albopictus,157,7
24/08/2020,Aedes albopictus,188,7
31/08/2020,Aedes albopictus,128,7
07/09/2020,Aedes albopictus,88,7
14/09/2020,Aedes albopictus,84,7
21/09/2020,Aedes albopictus,158,7
27/09/2020,Aedes albopictus,110,6
04/10/2020,Aedes albopictus,96,7
12/10/2020,Aedes albopictus,82,8
19/10/2020,Aedes albopictus,16,7
26/10/2020,Aedes albopictus,44,7
02/11/2020,Aedes albopictus,10,7
09/11/2020,Aedes albopictus,5,7
16/11/2020,Aedes albopictus,5,7
23/11/2020,Aedes albopictus,1,7
30/11/2020,Aedes albopictus,0,7
07/12/2020,Aedes albopictus,NA,NA
14/12/2020,Aedes albopictus,NA,NA
21/12/2020,Aedes albopictus,NA,NA
28/12/2020,Aedes albopictus,NA,NA
04/01/2021,Aedes albopictus,NA,NA
11/01/2021,Aedes albopictus,NA,NA
18/01/2021,Aedes albopictus,NA,NA
25/01/2021,Aedes albopictus,NA,NA
01/02/2021,Aedes albopictus,NA,NA
08/02/2021,Aedes albopictus,NA,NA
15/02/2021,Aedes albopictus,0,7
22/02/2021,Aedes albopictus,0,7
01/03/2021,Aedes albopictus,0,7
08/03/2021,Aedes albopictus,0,7
15/03/2021,Aedes albopictus,0,7
22/03/2021,Aedes albopictus,0,7
29/03/2021,Aedes albopictus,0,7
05/04/2021,Aedes albopictus,0,7
12/04/2021,Aedes albopictus,0,7
19/04/2021,Aedes albopictus,0,7
26/04/2021,Aedes albopictus,0,7
03/05/2021,Aedes albopictus,0,7
10/05/2021,Aedes albopictus,0,7
17/05/2021,Aedes albopictus,0,7
24/05/2021,Aedes albopictus,3,7
31/05/2021,Aedes albopictus,5,7
07/06/2021,Aedes albopictus,8,7
14/06/2021,Aedes albopictus,55,7
21/06/2021,Aedes albopictus,36,6
28/06/2021,Aedes albopictus,18,7
05/07/2021,Aedes albopictus,44,7
12/07/2021,Aedes albopictus,60,7
19/07/2021,Aedes albopictus,39,7
26/07/2021,Aedes albopictus,93,7
02/08/2021,Aedes albopictus,48,7
09/08/2021,Aedes albopictus,34,7
16/08/2021,Aedes albopictus,129,7
23/08/2021,Aedes albopictus,111,7
30/08/2021,Aedes albopictus,84,7
06/09/2021,Aedes albopictus,79,7
13/09/2021,Aedes albopictus,93,7
20/09/2021,Aedes albopictus,202,7
27/09/2021,Aedes albopictus,124,7
04/10/2021,Aedes albopictus,123,7
11/10/2021,Aedes albopictus,134,7
18/10/2021,Aedes albopictus,79,7
25/10/2021,Aedes albopictus,26,7
01/11/2021,Aedes albopictus,5,7
08/11/2021,Aedes albopictus,3,7
15/11/2021,Aedes albopictus,0,7
22/11/2021,Aedes albopictus,0,7
29/11/2021,Aedes albopictus,0,7
